,Company,Level,Years of Experience,City,Total Compensation,Salary,Germany
0,Support By Improv...,L5,2  yrs,"Frankfurt, HE, Germany ","4,8 χιλ. | N/A | N/A",4.8,Germany
1,adesso,Software Engineer,3  yrs,"Frankfurt, HE, Germany ","4,7 χιλ. | N/A | N/A",4.7,Germany
2,SAP,T1,0  yrs,"Berlin, BE, Germany ","4,6 χιλ. | N/A | N/A",4.6,Germany
3,ProSiebenSat.1,Senior,9  yrs,"Munich, BY, Germany ",7 χιλ. | N/A | N/A,7,Germany
4,Gasag,-,7  yrs,"Berlin, BE, Germany ","5,4 χιλ. | N/A | N/A",5.4,Germany
5,Deutsche Bank Ag,AVP,9  yrs,"Berlin, BE, Germany ","6,6 χιλ. | N/A | 291,7",6.6,Germany
6,Grammarly,L3,17  yrs,"Berlin, BE, Germany ","9,6 χιλ. | 2,1 χιλ. | N/A",9.6,Germany
7,Tecan,-,7  yrs,"Wiesbaden, HE, Germany ",5 χιλ. | N/A | N/A,5,Germany
8,Convotherm,L5,10  yrs,"Munich, BY, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
9,Deutsche Bank,Associate,2  yrs,"Frankfurt, HE, Germany ","6,1 χιλ. | N/A | N/A",6.1,Germany
10,Convotherm,L5,10  yrs,"Munich, BY, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
11,Deutsche Bank,Associate,2  yrs,"Frankfurt, HE, Germany ","6,1 χιλ. | N/A | N/A",6.1,Germany
12,Merck,Software Engineer,3  yrs,"Darmstadt, HE, Germany ","5,7 χιλ. | N/A | N/A",5.7,Germany
13,EPAM Systems,L3,6  yrs,"Berlin, BE, Germany ","6,6 χιλ. | N/A | N/A",6.6,Germany
14,N/A,hidden,5-10  yrs,"Frankfurt, HE, Germany ","4,3 χιλ. | N/A | N/A",4.3,Germany
15,Justwatch,Mid,6  yrs,"Berlin, BE, Germany ",4 χιλ. | N/A | N/A,4,Germany
16,CHECK24,Lead Software Engineer,10  yrs,"Munich, BY, Germany ","6,8 χιλ. | N/A | 583,3",6.8,Germany
17,AMBOSS,Senior,8  yrs,"Berlin, BE, Germany ","7,2 χιλ. | N/A | N/A",7.2,Germany
18,Zalando,C8,15  yrs,"Berlin, BE, Germany ","9,3 χιλ. | 2 χιλ. | N/A",9.3,Germany
19,Dedalus,L3,11  yrs,"Trier, RP, Germany ","6,2 χιλ. | N/A | 333,3",6.2,Germany
20,Siemens,T9,6  yrs,"Munich, BY, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
21,Adjust,Senior Software Engineer,11+  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
22,Volkswagen Financ...,hidden,0-1  yrs,"Braunschweig, NI, Germany ","4,5 χιλ. | N/A | 583,3",4.5,Germany
23,OneFootball,hidden,11+  yrs,"Berlin, BE, Germany ","10,8 χιλ. | N/A | N/A",10.8,Germany
24,Helmholtz Center,L1,1  yr,"Munich, BY, Germany ","6,9 χιλ. | N/A | N/A",6.9,Germany
25,CarOnSale,hidden,5-10  yrs,"Berlin, BE, Germany ","7,8 χιλ. | 416,7 | N/A",7.8,Germany
26,N/A,hidden,5-10  yrs,"Berlin, BE, Germany ","9,2 χιλ. | N/A | N/A",9.2,Germany
27,Klarna,L3,8  yrs,"Berlin, BE, Germany ","6,9 χιλ. | N/A | N/A",6.9,Germany
28,N/A,-,2  yrs,"Bremen, HB, Germany ","4,8 χιλ. | N/A | N/A",4.8,Germany
29,CHECK24,Junior Software Engineer,1  yr,"Munich, BY, Germany ","4,8 χιλ. | N/A | N/A",4.8,Germany
30,Informatica,L3,2  yrs,"Munich, BY, Germany ","4,3 χιλ. | N/A | N/A",4.3,Germany
