,Company,Level,Years of Experience,City,Total Compensation,Salary,netherlands
0,Reaktor,L3,10  yrs,"Amsterdam, NH, Netherlands ","6,1 χιλ. | N/A | N/A",6.1,netherlands
1,Ace&tate,Senior,9  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,netherlands
2,Gerimedica,L3,7  yrs,"Amsterdam, NH, Netherlands ","6,4 χιλ. | N/A | N/A",6.4,netherlands
3,Funda,Senior,5-10  yrs,"Amsterdam, NH, Netherlands ","6,9 χιλ. | N/A | 416,7",6.9,netherlands
4,Booking.com,E,1  yr,"Amsterdam, NH, Netherlands ",5 χιλ. | N/A | N/A,5,netherlands
5,ABN AMRO,10,10  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
6,ServiceNow,IC4,0  yrs,"Amsterdam, NH, Netherlands ","8,2 χιλ. | 6,7 χιλ. | 1,2 χιλ.",8.2,netherlands
7,TomTom,Software Engineer IV,15  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | N/A | 416,7",8.7,netherlands
8,Dott,Senior,2-4  yrs,"Amsterdam, NH, Netherlands ","6,1 χιλ. | N/A | N/A",6.1,netherlands
9,Optiver,L3,0  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | N/A | 10,3 χιλ.",8.3,netherlands
10,WeTravel,hidden,5-10  yrs,"Amsterdam, NH, Netherlands ","5,3 χιλ. | N/A | N/A",5.3,netherlands
11,Reisbalans,-,9  yrs,"Amersfoort, UT, Netherlands ","5,4 χιλ. | N/A | N/A",5.4,netherlands
12,ING,Software Engineer 2,1  yr,"Amsterdam, NH, Netherlands ","5,5 χιλ. | N/A | N/A",5.5,netherlands
13,Picnic,L2C,3  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | N/A | N/A",5.7,netherlands
14,GitLab,Staff Software Engineer,17  yrs,"Amsterdam, NH, Netherlands ","11,7 χιλ. | 4,2 χιλ. | N/A",11.7,netherlands
15,Adyen,Senior Software Engineer,8  yrs,"Amsterdam, NH, Netherlands ","8,6 χιλ. | 1,8 χιλ. | 1 χιλ.",8.6,netherlands
16,Rabobank,hidden,5-10  yrs,"Utrecht, UT, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
17,RTL,L3,11+  yrs,"Hilversum, NH, Netherlands ","8 χιλ. | N/A | 833,3",8,netherlands
18,Picnic,L3,4  yrs,"Amsterdam, NH, Netherlands ","6,5 χιλ. | N/A | N/A",6.5,netherlands
