,Company,Level,Years of Experience,City,Total Compensation,Salary,country
0,Reaktor,L3,10  yrs,"Amsterdam, NH, Netherlands ","6,1 χιλ. | N/A | N/A",6.1,random
1,Ace&tate,Senior,9  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,random
2,Gerimedica,L3,7  yrs,"Amsterdam, NH, Netherlands ","6,4 χιλ. | N/A | N/A",6.4,random
3,Funda,Senior,5-10  yrs,"Amsterdam, NH, Netherlands ","6,9 χιλ. | N/A | 416,7",6.9,random
4,Booking.com,E,1  yr,"Amsterdam, NH, Netherlands ",5 χιλ. | N/A | N/A,5,random
5,ABN AMRO,10,10  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,random
6,ServiceNow,IC4,0  yrs,"Amsterdam, NH, Netherlands ","8,2 χιλ. | 6,7 χιλ. | 1,2 χιλ.",8.2,random
7,TomTom,Software Engineer IV,15  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | N/A | 416,7",8.7,random
8,Dott,Senior,2-4  yrs,"Amsterdam, NH, Netherlands ","6,1 χιλ. | N/A | N/A",6.1,random
9,Optiver,L3,0  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | N/A | 10,3 χιλ.",8.3,random
10,Informatica,L3,9  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 250 | N/A",8.3,random
11,Picnic,2,2  yrs,"Amsterdam, NH, Netherlands ","4,9 χιλ. | N/A | N/A",4.9,random
12,Picnic,L3,4  yrs,"Amsterdam, NH, Netherlands ","6,2 χιλ. | N/A | N/A",6.2,random
13,Uber,Senior Software Engineer,6  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 4,5 χιλ. | 2,1 χιλ.",10.8,random
14,Booking.com,G,12  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 3,8 χιλ. | 2,7 χιλ.",10.8,random
15,Fashion Cloud,-,7  yrs,"Amsterdam, NH, Netherlands ","5,4 χιλ. | N/A | N/A",5.4,random
16,Booking.com,F,8  yrs,"Amsterdam, NH, Netherlands ","8,4 χιλ. | 2,9 χιλ. | 1,8 χιλ.",8.4,random
17,Picnic,L4,10  yrs,"Amsterdam, NH, Netherlands ","8,8 χιλ. | N/A | N/A",8.8,random
18,Ahold Delhaize,T6,14  yrs,"Utrecht, UT, Netherlands ","7,6 χιλ. | N/A | 666,7",7.6,random
