,title,guid,specialization,city,companyName,totalCompensation,totalCompensationNumber,totalCompensationDetails,baseSalary,baseSalaryNumber,oldYearForData,otherContext
0,Senior Software Engineer ,7wlsz77oodzc75obmli2a,Backend,,Delivery Hero,"€120,000",120000,"€100K salary, €20K equity/year","€8,333/month",100000,,
1,Ethical Hacker,itlsz42deonrsqzwy81xh,,Berlin (flexible days),🔒 German small-size cybersecurity company,"€55,000",55000,"€50K salary, €5K bonus","€4,167/month",50000,2023,
2,Cyber Security Expert,9mlsyiqxe7mtq9pr3pu7c,,Berlin (hybrid option),Autobahn GmbH,"€75,000",75000,"€75K salary, €5K benefits","€6,233/month",75000,,
3,Software Engineer,5mlt0i4auc5foasyx7evx,MTS,Flexible days,AMD,"€99,500",99500,"€82K salary, €10K bonus, €8K equity/year, €3K benefits","€6,833/month",82000,,
4,AI Algorithm Architect,bqlt1auexcnhb4vpn4spf,,Hildesheim (flexible days),Bosch,"€110,000",110000,€110K salary,"€9,167/month",110000,2023,
5,Software Engineer ,bvlt1c8r4o80zkb17b7sm,,Munich,🔒 German small-size software company,"€62,500",62500,€63K salary,"€5,208/month",62500,,
6,Senior Software Engineer,orlt1m4hal0q646vk6obko,Backend,Remote (remote from anywhere),Gorillas,"€155,000",155000,€155K salary,"€12,920/month (€85/hour)",155000,2023,Contract
7,Junior Software Engineer,ctlsu4f9q8dbdo52fkqpj,,Böblingen (hybrid option),🔒 German small-size IT services and consulting company,"€49,400",49400,"€47K salary, €2K bonus, €1K benefits","€3,917/month",47000,,
8,Senior Speech Scientist,37lsu6m5mcwr6zbzuoznd,,Remote (remote within country),🔒 US-based medium-size mobility software company,"€80,000",80000,"€74K salary, €6K bonus","€6,167/month",74000,,
9,Staff Software Engineer,77lswspmens327tigqaqj,,,AMD,"€92,500",92500,"€84K salary, €8K bonus","€7,000/month",84000,,
10,Solutions Architect ,74lsrbeafq2snx1lgmwid,,Berlin (remote within country),Local AI startup,"€70,000",70000,"€65K salary, €5K bonus","€5,417/month",65000,,
11,PhD Student,vmlsq6n3qre861fu7eiwe,,Munich (flexible days),Siemens AG,"€40,300",40300,€40K salary,"€3,362/month",40300,,
12,Software Engineer,cklsql6febzf2hjnzkp1k,,Berlin,HelloFresh,"€69,500",69500,"€68K salary, €2K equity/year","€5,667/month",68000,,
13,Senior Software Engineer in Test,hqlsnnhaoysg395godl2j,,Berlin (hybrid option),Dolby Laboratories,"€92,500",92500,"€82K salary, €7K bonus, €4K sign-on","€6,833/month",82000,,
14,Engineering Manager,iylsocilp92nwsd7gwwl5,,Remote within country,Emma – The Sleep Company,"€112,000",112000,"€107K salary, €5K sign-on","€8,917/month",107000,,
15,Software Enginere,wllsog6it01sptrqfqg7a,Backend,Köln (flexible days),DER,"€60,000",60000,€60K salary,"€5,000/month",60000,,
16,Software Engineer,selsojnly77avhdu8eyoc,DevOps,Berlin,Local startup in AdTech,"€90,000",90000,"€90K salary, €1K benefits","€7,500/month",90000,,
17,Data Engineer,j8lson41xzdmhl1a7yndp,,Hamburg (hybrid option),🔒 Swiss large-size logistics company,"€76,000",76000,€76K salary,"€6,333/month",76000,,
18,Software Engineer,wflsooav32jl6sxtmksxg,,Hybrid option,Nintendo,"€70,000",70000,€70K salary,"€5,833/month",70000,2022,
19,Senior Project Manager,dulsotx14yrqu8t5oim9f,,Berlin (remote from anywhere),🔒 International large-size security company,"€110,000",110000,"€105K salary, €5K bonus","€8,750/month",105000,,
20,Senior Security Engineer,14lsouttimcinuojetx5,,Berlin (flexible days),Delivery Hero,"€105,000",105000,"€85K salary, €20K equity/year","€7,083/month",85000,,
21,Design Release Engineer,aclsoyw9nzrf2pkd6xfg,,Remote from anywhere,Cognizant Mobility,"€95,000",95000,€95K salary,"€7,904/month (€52/hour)",95000,,Contract
22,Software Engineer ,a8lskmnc9i7kjj06bsmd3,Backend,Dortmund,Zalando,"€74,000",74000,€74K salary,"€6,167/month",74000,,
23,🔒 Mid-level position within software engineering,gmlsj9f51mn4leutp27t,,,Microsoft,"€138,000",138000,"€120K salary, €8K bonus, €10K sign-on, €50K relocation","€10,000/month",120000,2023,
24,Senior Software Engineer,u3lsjb6r9prf5j9uv3hp,,Berlin (remote within country),🔒 German small-size chatbot platform company,"€88,000",88000,"€88K salary, €0K equity/year, €1K benefits","€7,333/month",88000,,
25,Junior Software Engineer,s3lsje7daje1u93xr8ko7,,Flexible days,🔒 German medium-size IT consulting and services company,"€55,000",55000,"€54K salary, €1K sign-on","€4,500/month",54000,,
26,Cloud Consultant,zklsjc3tb021mkiqo3wz,Data and AI,Munich,Microsoft,"€92,500",92500,"€70K salary, €14K bonus, €5K sign-on, €4K equity/year","€5,833/month",70000,2023,
27,Software Engineer,j7lsjcy4is1wzlezb2flb,Security,,Grammarly,"€110,000",110000,€110K salary,"€9,167/month",110000,,
28,Software Engineer,tnlsivb1m0qstd05eejc,,Erlangen (remote within country),Siemens AG,"€92,500",92500,"€90K salary, €3K sign-on","€7,500/month",90000,2023,
29,Product Designer,stlsj0afujwujwafiqsps,,Flexible days,Universal Music Group,"€82,000",82000,€82K salary,"€6,833/month",82000,2023,
30,Product Designer,7rlsj0enlschlt0jp3nxw,,Flexible days,Billie GmbH,"€60,000",60000,"€60K salary, €3K relocation","€5,000/month",60000,2022,
31,🔒 Above senior-level position within software engineering,jzlsi078xvrflf46mdinp,,Berlin (flexible days),Delivery Hero,"€164,000",164000,"€124K salary, €40K equity/year","€10,333/month",124000,,
32,Software Engineer ,fqlsi4gevc1d1adsddvi6,,,Bosch,"€90,000",90000,€90K salary,"€7,500/month",90000,,
33,Consultant,svlshqm5ld6xbljhy3ese,Cloud,Hybrid option,Storm Reply,"€64,000",64000,"€57K salary, €7K bonus","€4,750/month",57000,2023,
34,Scrum Master,sglshdu3cf5avsfelseqb,,Flexible days,🔒 German small-size IT services &amp; consulting company,"€65,000",65000,€65K salary,"€5,417/month",65000,2021,
35,Senior Software Engineer,sblsenu45u7yq7ef1nfed,,Berlin (remote within country),🔒 Dutch/international large-size pharmaceutical manufacturing company,"€80,000",80000,€80K salary,"€6,667/month",80000,,
36,Software Engineer,vplseu8djg7xf6qniu8eb,Backend,Hessen,Ferchau,"€52,000",52000,€52K salary,"€4,333/month",52000,2023,
37,Data Engineer,qwlsex335yunczq213pd,,Berlin (remote within country),🔒 Swiss small-size real estate tech company,"€62,000",62000,"€57K salary, €5K bonus","€4,750/month",57000,2023,
38,Engineering Manager ,jalsfbs447levwhql1ki,,Berlin,Delivery Hero,"€127,000",127000,"€102K salary, €25K equity/year, €13K relocation","€8,500/month",102000,,
39,Principal Engineer,rylsbrxnvx7k7laeofa6b,,,Huawei Technologies Düsseldorf,"€126,000",126000,"€101K salary, €25K bonus, €1K benefits","€8,417/month",101000,,
40,Software Engineering Manager,xolsd2fd5t7hfhv9qxw7p,,Munich (flexible days),Google,"€250,000",250000,"€144K salary, €36K bonus, €70K equity/year, €20K benefits","€12,000/month",144000,2023,
41,Software Engineer,nslsefz4c8nzoge1qxsb,Backend,Berlin (remote from anywhere),cargo.one,"€95,000",95000,"€95K salary, €1K relocation","€7,917/month",95000,2023,
42,Lead Software Engineer,n9lsa2j83rzpsqfj2vcf,,Hybrid option,🔒 German small-size greentech manufacturing company,"€80,000",80000,"€70K salary, €10K bonus, €1K benefits","€5,833/month",70000,,
43,Werkstudent,aqls9ftl5mxiyj0j6m8g9,,Hamburg (flexible days),Hapag-Lloyd AG,"€27,000",27000,€27K salary,"€2,250/month",27000,2023,
44,Software Engineer,8olsaj0fewfimc0n4b7tk,,Berlin (hybrid option),Native Instruments,"€45,000",45000,"€45K salary, €0K benefits","€3,750/month",45000,2023,
45,Senior Software Engineer,mqlsaridfi1lnapahgcki,,Remote from anywhere,🔒 German small-size utilities software company,"€80,000",80000,"€80K salary, €2K benefits","€6,667/month",80000,,
46,Principal Product Designer,a8lsarznvko84huyhmvs,,Berlin (flexible days),Zalando,"€105,000",105000,"€84K salary, €21K equity/year","€7,000/month",84000,2023,
47,Senior Software Engineer,oglsaws90xmrgq0x9k3tn,,,🔒 French medium-size advertising services company,"€110,000",110000,"€100K salary, €10K bonus","€8,333/month",100000,2023,
48,Founding Software Engineer,4rlsb24phxysyr9r0fig,,Berlin (hybrid option),Local startup,"€114,000",114000,"€95K salary, €19K equity/year","€7,917/month",95000,2023,
49,Software Developer ,7tls7vtz6eq84e5x4tx4g,Backend,Hybrid option,TOPMOTIVE Gruppe,"€53,000",53000,"€53K salary, €5K benefits","€4,417/month",53000,,
50,Software Engineer,mtls8vcgitc8ddqzsf3ws,,Germany (remote within country),Meta,"€196,000",196000,"€110K salary, €17K bonus, €20K sign-on, €49K equity/year, €2K benefits","€9,167/month",110000,2023,
51,Platform Engineer,vfls10tkpctnb5dapopib,,Hybrid option,🔒 German large-size utilities company,"€105,000",105000,"€90K salary, €15K bonus","€7,500/month",90000,2023,
52,Software Engineer ,5tls26c307m6jg9l2azk,Backend,Berlin,Adecco,"€88,000",88000,"€80K salary, €8K bonus","€6,667/month",80000,2023,
53,Software Engineer,8rls30kkpxl48iio5rvn,,Remote from anywhere,🔒 German small-size edutech company,"€66,000",66000,€66K salary,"€5,500/month",66000,,
54,Software Engineer,jflrz3kqolhgyjz5qf64k,,Berlin (hybrid option),UP42,"€85,000",85000,"€78K salary, €7K bonus","€6,500/month",78000,2023,
55,Software Engineer,yzlrx8h0gcjbnq29b34,,Flexible days,Siemens,"€71,500",71500,"€70K salary, €1K bonus, €0K benefits","€5,833/month",70000,,
56,Software Engineer,bilrxkpd6eeb2zj6pufq,MLOps,Flexible days,DHL Data &amp; Analytics,"€90,000",90000,"€75K salary, €15K bonus","€6,250/month",75000,2023,
57,Software Engineer,7vlrw9q0686qh9gj2q44d,,Berlin (flexible days),Snowflake,"€54,000",54000,"€54K salary, €1K benefits","€4,500/month",54000,2023,
58,Senior Software Engineer,w2lrw9l6cbqremhuoymt,,Berlin (flexible days),🔒 German large-size bank,"€75,000",75000,"€72K salary, €3K bonus","€6,000/month",72000,,
59,Data Engineer,jblrtqs9mvtb5ba24uba,,,Amazon,"€86,000",86000,€86K salary,"€7,167/month",86000,,
60,Engineering Manager,wflrtacmjf2demfigiud4,,Munich (hybrid option),Jochen Schweizer mydays Group,"€93,000",93000,€93K salary,"€7,750/month",93000,,
61,Principle Product Manager,o6lrseth2yizvd8qgjcd,,Berlin (remote within country),🔒 UK-based medium-size software company,"€92,500",92500,"€84K salary, €8K bonus, €0K benefits","€7,000/month",84000,,
62,Software Engineer,fqlrsy561vwny4z3ogn1e,Fullstack,Hybrid option,SCHUFA Holding AG,"€68,000",68000,"€66K salary, €3K bonus","€5,458/month",65500,2023,
