,title,guid,specialization,city,companyName,totalCompensation,totalCompensationNumber,totalCompensationDetails,baseSalary,baseSalaryNumber,oldYearForData,otherContext
0,Fullstack Software Engineer,d5m23tirj1tmu1d4lalf8,,Arnhem (flexible days),Avisi,"€56,000",56000,"€56K salary, €1K benefits","€4,650/month",56000,,
1,Fulllstack Software Engineer,vpm23tmk2axtoxbh9yfa,,Arnhem (flexible days),Avisi,"€57,500",57500,"€58K salary, €0K benefits","€4,806/month",57500,2023,
2,Software Engineer,ysm23tpnc0vi78l1m7rkm,,Arnhem,Avisi,"€67,500",67500,"€67K salary, €1K benefits","€5,616/month",67500,,
3,Senior Software Engineer,9km23tq5471g2m3topyll,,Amsterdam,Cognizant,"€89,500",89500,"€85K salary, €4K bonus","€7,083/month",85000,,
4,Software Engineer,ftm261a95hw8qhwi1zjmd,,Amsterdam,Bux,"€110,000",110000,€110K salary,"€9,167/month",110000,,
5,🔒 Mid-level position within software engineering,jplvbzf3xo7wm6d9ck7ii,,Amsterdam,Box,"€127,000",127000,"€90K salary, €5K sign-on, €32K equity/year, €12K benefits","€7,500/month",90000,,
6,Software Engineer,jtlvci92coxaag95xsxe,,Amsterdam (hybrid option),🔒 US-based large-size automotive company,"€12,000",12000,€12K salary,"€1,000/month",12000,2023,
7,Software Engineer,i3lvcl836s0y45dtd5tre,"Java, Backend",Hybrid option,DEGIRO,"€70,000",70000,€70K salary,"€5,833/month",70000,,
8,Principal DevOps Engineer,l9lvf2rjvyka0et60bcvp,,Amsterdam,Palo Alto Networks,"€159,000",159000,"€112K salary, €17K bonus, €30K equity/year, €2K benefits","€9,333/month",112000,,
9,Software Architect,qblvcvvmpiopkc8b3g5im,,Rotterdam (flexible days),CGI,"€70,000",70000,"€65K salary, €5K bonus","€5,417/month",65000,,
10,Data Analyst I,milve74n46k45sdsdaksq,,Amsterdam (flexible days),Booking.com,"€86,500",86500,"€79K salary, €8K bonus","€6,561/month",78500,,
11,Principal Software Engineer,sylvf9mxnguzyltdhq9el,,Groningen (remote within country),HackerOne,"€107,000",107000,"€107K salary, €1K benefits","€8,888/month",107000,,
12,Senior Software Engineer,6llt3fe62q5aeshae8d5l,,Amsterdam (hybrid option),Shell Recharge Solutions,"€93,500",93500,"€85K salary, €9K bonus","€7,083/month",85000,2023,
13,Software Engineer ,t4lt40yky3oo4grkba1i9,,Amsterdam,US-based real estate stealth startup,"€515,000",515000,"€180K salary, €36K bonus, €300K sign-on","€15,000/month",180000,,
14,Marketing Manager,dzlt47smrklmzjbsakfzm,,Utrecht,🔒 US-based multinational IT Services and IT Consulting company,"€100,000",100000,"€85K salary, €15K bonus","€7,083/month",85000,2020,
15,🔒 Above senior-level position within engineering management,9qlt4dzso89idfp5womtg,,Flexible days,Getir,"€98,000",98000,€98K salary,"€8,167/month",98000,,
16,Digital Workplace Specialist,14lt5n7xnld22iz40nve,,Remote from anywhere,🔒 US-based small-size software company,"€92,000",92000,"€80K salary, €12K bonus","€6,667/month",80000,,
17,Software Engineer,kylt5wgc7o4tf1a33j875,,Rotterdam (flexible days),ADP,"€64,000",64000,"€61K salary, €3K bonus, €3K benefits","€5,083/month",61000,,
18,Senior Software Engineer,f9lt6b2kphqm7akv6fe3g,,Hybrid option,🔒 Saudi small-size fintech startup,"€105,000",105000,"€105K salary, €0K benefits","€8,750/month",105000,,
19,Software Engineer ,g6lt6e6rk1rgtrls67tp,,,Philips,"€68,500",68500,€68K salary,"€5,694/month",68500,,
20,Data Architect,z8lt72ftzop2efe79y11e,,Flexible days,Worldline,"€101,000",101000,"€92K salary, €9K bonus","€7,650/month",92000,,
21,🔒 Mid-level position within other,uflt8oij9udebuummq2b,,Hybrid option,Booking.com,"€72,500",72500,"€71K salary, €1K bonus","€5,917/month",71000,,
22,Postdoc Researcher,b0lt90sfehrtq3z342b2g,,,🔒 Amsterdam-based university,"€66,000",66000,"€66K salary, €0K bonus","€5,508/month",66000,2023,
23,Sr. Staff Engineer &amp; Manager,hvlt9rqat8ytp5m2bwfw,ML,Amsterdam (flexible days),Qualcomm,"€218,000",218000,"€150K salary, €15K bonus, €20K sign-on, €33K equity/year","€12,500/month",150000,,
24,Senior Product Manager,dclt9vt4rochrr1cxo7d9,,,Amazon,"€131,000",131000,"€100K salary, €30K bonus","€8,370/month",100000,2023,
25,Data Engineer,0ultaf7tzybncd7p614tu,,Nieuwegein (flexible days),BigData Republic,"€66,000",66000,"€61K salary, €5K bonus, €1K benefits","€5,100/month",61000,,
26,Engineering Manager,1fltbbw2r6zdvdi563bhq,,Flexible days,Booking.com,"€198,000",198000,"€132K salary, €26K bonus, €39K equity/year","€11,000/month",132000,,
27,Platform Engineer,yhltbd62vfj3lecysub6b,,Flexible days,Ahold Delhaize,"€81,500",81500,"€75K salary, €6K bonus, €0K benefits","€6,283/month",75500,,
28,Software Engineer,wjltbidqk99hmaesn96of,Fullstack,Amsterdam (flexible days),DPG Media Nederland,"€68,000",68000,€68K salary,"€5,680/month",68000,,
29,Software Engineer,93ltcc3cswla12o56tl2a,,,Bynder,"€61,000",61000,€61K salary,"€5,083/month",61000,,
30,Lead Software Engineer,u7ltd98klmjq30oogmdel,,Amsterdam (hybrid option),🔒 Dutch large-size retail scaleup,"€100,000",100000,€100K salary,"€8,333/month",100000,,
31,Senior Software Engineer,slltdc8ao5uvwziovknx,,Utrecht (flexible days),🔒 Dutch small-size IT consultancy company,"€60,000",60000,"€55K salary, €5K bonus","€4,600/month",55000,,
32,IT Process Architect,mcltefeuavm8u1ztqvmjs,,Düsseldorf (hybrid option),🔒 German large-size utilities company,"€60,000",60000,"€54K salary, €6K bonus","€4,500/month",54000,2023,
33,Data Scientist,n4lten1hvs20as985ysw6,,Utrecht (flexible days),🔒 Dutch medium-size railroad equipment manufacturing company,"€44,800",44800,€45K salary,"€3,733/month",44800,,
34,Software Engineer,w6lteynxmo583n2inec,,Amsterdam (flexible days),🔒 Canadian small-size competitive intelligence company,"€92,500",92500,€93K salary,"€7,708/month",92500,,
35,Senior Backend Engineer,cdltfmobu8p2s7bxho8db,Backend,Eindhoven (flexible days),Sendcloud,"€85,500",85500,"€80K salary, €5K equity/year, €5K benefits","€6,667/month",80000,,
36,Data Scientist,qlltg65l0vvn770pqknuf,,Amsterdam (flexible days),KLM,"€69,000",69000,"€60K salary, €9K bonus","€4,995/month",60000,,
37,🔒 Senior-level position within design,u7ltgfu93sqy6mmn06pob,,Amsterdam (hybrid option),Miro,"€100,000",100000,"€100K salary, €10K benefits","€8,333/month",100000,2023,
38,Senior Staff Software Engineer,9plth1urm41mqqhpjz1p4,,Hybrid option,ServiceNow,"€236,000",236000,"€113K salary, €23K bonus, €100K equity/year","€9,417/month",113000,,
39,Software Engineer,72ltjcn8851q1h85xhzqm,,Amsterdam (flexible days),🔒 Dutch medium-size IT consulting and services company,"€56,500",56500,"€56K salary, €1K bonus","€4,667/month",56000,,
40,Senior Software Engineer,i3ltjullnyh6571esa3i,Backend,Amsterdam (hybrid option),Paramount,"€127,000",127000,"€115K salary, €12K bonus","€9,583/month",115000,,
41,Working Student,gpltka9a6lbveqxrq0k9,AI Engineering,,TKH Artificial Intelligence,"€27,400",27400,€27K salary,"€2,280/month (€15/hour)",27400,,
42,Senior Software Engineer ,xrltkgbejoat0r3qfuodp,,Hybrid option,Semrush,"€106,000",106000,"€106K salary, €3K benefits, €9K relocation","€8,820/month",106000,,
43,Data Engineer,jultkp4skmdt9m4vrx6wu,,Amsterdam (flexible days),🔒 Dutch small-size investment management company,"€38,300",38300,€38K salary,"€3,192/month (€21/hour)",38300,2023,
44,Senior Data Engineer I,kiltlqnsj5gx9t75dr5m,,Amsterdam (flexible days),Booking.com,"€163,000",163000,"€120K salary, €30K bonus, €13K equity/year","€10,000/month",120000,,
45,Data Engineer,5xltmyqenktbrq4zw9gz,,Deventer (flexible days),Small-size dutch software company,"€46,700",46700,€47K salary,"€3,888/month",46700,,
46,🔒 Senior-level position within software engineering,niltokyomo4k08za8m2xr,,Amsterdam (flexible days),Adyen,"€104,000",104000,"€104K salary, €14K benefits, €7K relocation","€8,667/month",104000,,
47,Software Engineer,gwltq5pogvqk0laxwcdr8,DevOps,,Swisscom,"€70,000",70000,€70K salary,"€5,833/month",70000,,
48,Senior Product Owner,bnltqu5rm16lxnl2a89fa,,Eindhoven,ASML,"€99,500",99500,"€83K salary, €17K bonus, €6K relocation","€6,917/month",83000,,
49,Senior Security Engineer II,gzltqx3d3zrut15rxdf5,,Flexible days,Booking.com,"€201,000",201000,"€130K salary, €47K bonus, €6K sign-on, €19K equity/year, €5K benefits, €2K relocation","€10,833/month",130000,2023,
50,Software Engineer,1sltr1d7d91kw7f6begrv,Machine Learning,Leiden (hybrid option),Local startup,"€65,000",65000,€65K salary,"€5,417/month",65000,2023,
51,Software Engineer,3sltr8h2fbyw5byvtfxpm,Backend,Flexible days,Adyen,"€91,500",91500,"€83K salary, €9K bonus, €15K benefits","€6,875/month",82500,,
52,Software Engineer,hcltro7pmmix43hljsaea,,Flexible days,🔒 Technology services company,"€53,000",53000,€53K salary,"€4,428/month",53000,,
53,Senior Software Engineer,05ltroszwtt7w69pxzw1m,Frontend,Gouda (hybrid option),Wortell,"€54,500",54500,€55K salary,"€4,562/month",54500,,
54,Tech Lead,7vltsvo2g1n928ygygu1j,,,Adyen,"€122,000",122000,"€120K salary, €2K equity/year","€10,000/month",120000,2023,
55,Software Designer,falttwyb97tnox11h93t,,eindhoven,ICT Group,"€70,000",70000,"€70K salary, €3K relocation","€5,833/month",70000,,
56,Test Automation Engineer,dmltu4cjb6sx74phgj66,,Utrecht,Rabobank,"€89,500",89500,"€90K salary, €14K benefits","€7,461/month",89500,2023,
57,Software Engineer II,uelsx135actr02a2hqw6f,Backend,Amsterdam (hybrid option),Booking.com,"€115,000",115000,"€96K salary, €14K bonus, €5K equity/year","€8,000/month",96000,,
