time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-03-11 00:00:00,4.2,2.5,89,,,321,13,22.2,1001,,1
2025-03-11 01:00:00,3.6,2.3,91,,,317,11.1,20.4,1001,,1
2025-03-11 02:00:00,2.9,2.2,95,,,306,11.1,18.5,1001.2,,1
2025-03-11 03:00:00,2.5,1.6,94,,,299,11.1,18.5,1001.4,,1
2025-03-11 04:00:00,2.1,1.7,97,,,296,9.3,16.7,1001.5,,2
2025-03-11 05:00:00,1.5,1.4,99,,,290,7.4,14.8,1001.4,,2
2025-03-11 06:00:00,1.5,1.5,100,,,286,7.4,13,1001.5,,2
2025-03-11 07:00:00,1.5,1.5,100,,,283,7.4,11.1,1001.7,,3
2025-03-11 08:00:00,1.9,1.9,100,,,274,5.5,11.1,1001.8,,3
2025-03-11 09:00:00,2.6,2.6,100,,,263,5.5,11.1,1001.9,,3
2025-03-11 10:00:00,3.3,2.9,97,,,252,5.5,13,1001.9,,4
2025-03-11 11:00:00,4.6,3.6,93,,,250,5.5,11.1,1001.5,,4
2025-03-11 12:00:00,6.5,4,84,,,246,7.4,14.8,1001.2,,3
2025-03-11 13:00:00,8,4,76,,,239,7.4,16.7,1000.8,,3
2025-03-11 14:00:00,9,3.8,70,,,240,7.4,16.7,1000.2,,3
2025-03-11 15:00:00,9.8,3.5,65,,,251,7.4,16.7,999.7,,3
2025-03-11 16:00:00,10,3.3,63,,,251,7.4,16.7,999.3,,3
2025-03-11 17:00:00,10.2,3,61,,,271,5.5,16.7,999.1,,3
2025-03-11 18:00:00,8.4,2.6,67,,,273,7.4,14.8,999.5,,3
2025-03-11 19:00:00,6.9,3.1,77,,,295,7.4,14.8,999.9,,3
2025-03-11 20:00:00,5.7,3.2,84,,,275,9.3,14.8,1000.1,,3
2025-03-11 21:00:00,4.8,3,88,,,264,9.3,14.8,1000.1,,3
2025-03-11 22:00:00,4,3.3,95,,,279,7.4,14.8,1000.1,,3
2025-03-11 23:00:00,3.3,3.3,100,,,84,3.7,9.3,1000.2,,4
2025-03-12 00:00:00,3.3,3.3,100,,,309,5.5,9.3,1000.1,,4
2025-03-12 01:00:00,3.6,3.6,100,,,286,5.5,11.1,999.7,,4
2025-03-12 02:00:00,3.6,3.6,100,,,284,7.4,11.1,999.5,,4
2025-03-12 03:00:00,3.8,3.5,98,,,292,7.4,14.8,999.5,,7
2025-03-12 04:00:00,3.7,3.7,100,,,285,7.4,14.8,999.4,,7
2025-03-12 05:00:00,3.8,3.8,100,,,264,7.4,14.8,999.4,,7
2025-03-12 06:00:00,3.8,3.8,100,,,271,7.4,14.8,999.6,,7
2025-03-12 07:00:00,4,3.7,98,,,272,7.4,14.8,999.9,,7
2025-03-12 08:00:00,4.4,3.7,95,,,276,7.4,14.8,1000,,7
2025-03-12 09:00:00,5,3.3,89,,,281,7.4,16.7,999.9,,7
2025-03-12 10:00:00,5.5,3.3,86,,,285,7.4,16.7,999.8,,4
2025-03-12 11:00:00,6.1,3.1,81,,,288,7.4,18.5,999.9,,4
2025-03-12 12:00:00,6.3,2.9,79,,,287,9.3,18.5,1000,,4
2025-03-12 13:00:00,6.4,2.8,78,,,286,9.3,20.4,999.8,,4
2025-03-12 14:00:00,6.5,2.8,77,,,288,7.4,18.5,999.7,,4
2025-03-12 15:00:00,6.6,2.7,76,,,294,9.3,18.5,999.6,,4
2025-03-12 16:00:00,6.4,2.7,77,,,301,7.4,18.5,999.3,,4
2025-03-12 17:00:00,6.3,2.2,75,,,304,7.4,18.5,999.4,,4
2025-03-12 18:00:00,5.7,2.2,78,,,308,7.4,16.7,999.4,,4
2025-03-12 19:00:00,4.9,1.9,81,,,316,7.4,14.8,999.7,,4
2025-03-12 20:00:00,4.6,1.8,82,,,315,9.3,16.7,999.7,,4
2025-03-12 21:00:00,4.2,1.9,85,,,325,9.3,16.7,999.6,,7
2025-03-12 22:00:00,3.9,1.8,86,,,334,9.3,16.7,999.5,,7
2025-03-12 23:00:00,3.6,1.6,87,,,342,9.3,14.8,999.4,,7
